Senate Vote #98 2016-06-14T11:04:00 - S. 2943: National Defense Authorization Act for Fiscal Year 2017
person,state,district,vote,name,party
300002,TN,,Yea,"Sen. Lamar Alexander [R, 2003-2020]",Republican
300011,CA,,Not Voting,"Sen. Barbara Boxer [D, 1993-2016]",Democrat
300018,WA,,Yea,"Sen. Maria Cantwell [D, 2001-2024]",Democrat
300019,DE,,Yea,"Sen. Thomas Carper [D, 2001-2024]",Democrat
300023,MS,,Yea,"Sen. Thad Cochran [R, 1979-2018]",Republican
300025,ME,,Yea,"Sen. Susan Collins [R, 1997-2026]",Republican
300027,TX,,Yea,"Sen. John Cornyn [R, 2002-2026]",Republican
300030,ID,,Nay,"Sen. Michael “Mike” Crapo [R, 1999-2022]",Republican
300038,IL,,Yea,"Sen. Richard Durbin [D, 1997-2026]",Democrat
300041,WY,,Yea,"Sen. Michael Enzi [R, 1997-2020]",Republican
300043,CA,,Yea,"Sen. Dianne Feinstein [D, 1992-2024]",Democrat
300047,SC,,Yea,"Sen. Lindsey Graham [R, 2003-2026]",Republican
300048,IA,,Yea,"Sen. Charles “Chuck” Grassley [R, 1981-2022]",Republican
300052,UT,,Yea,"Sen. Orrin Hatch [R, 1977-2018]",Republican
300055,OK,,Yea,"Sen. James “Jim” Inhofe [R, 1994-2026]",Republican
300065,VT,,Nay,"Sen. Patrick Leahy [D, 1975-2022]",Democrat
300071,AZ,,Yea,"Sen. John McCain [R, 1987-2018]",Republican
300072,KY,,Yea,"Sen. Mitch McConnell [R, 1985-2026]",Republican
300073,MD,,Yea,"Sen. Barbara Mikulski [D, 1987-2016]",Democrat
300075,AK,,Yea,"Sen. Lisa Murkowski [R, 2003-2022]",Republican
300076,WA,,Yea,"Sen. Patty Murray [D, 1993-2022]",Democrat
300078,FL,,Yea,"Sen. Bill Nelson [D, 2001-2018]",Democrat
300081,RI,,Yea,"Sen. John “Jack” Reed [D, 1997-2026]",Democrat
300082,NV,,Nay,"Sen. Harry Reid [D, 1987-2016]",Democrat
300083,KS,,Yea,"Sen. Pat Roberts [R, 1997-2020]",Republican
300087,NY,,Yea,"Sen. Charles “Chuck” Schumer [D, 1999-2022]",Democrat
300088,AL,,Yea,"Sen. Jefferson “Jeff” Sessions [R, 1997-2017]",Republican
300089,AL,,Yea,"Sen. Richard Shelby [R, 1987-2022]",Republican
300093,MI,,Yea,"Sen. Debbie Stabenow [D, 2001-2024]",Democrat
300100,OR,,Nay,"Sen. Ron Wyden [D, 1996-2022]",Democrat
400013,WI,,Yea,"Sen. Tammy Baldwin [D, 2013-2024]",Democrat
400034,MO,,Yea,"Sen. Roy Blunt [R, 2011-2022]",Republican
400040,AR,,Yea,"Sen. John Boozman [R, 2011-2022]",Republican
400050,OH,,Yea,"Sen. Sherrod Brown [D, 2007-2024]",Democrat
400054,NC,,Yea,"Sen. Richard Burr [R, 2005-2022]",Republican
400061,WV,,Yea,"Sen. Shelley Capito [R, 2015-2026]",Republican
400064,MD,,Yea,"Sen. Benjamin Cardin [D, 2007-2024]",Democrat
400134,AZ,,Yea,"Sen. Jeff Flake [R, 2013-2018]",Republican
400194,GA,,Yea,"Sen. John “Johnny” Isakson [R, 2005-2019]",Republican
400222,IL,,Yea,"Sen. Mark Kirk [R, 2010-2016]",Republican
400253,MA,,Nay,"Sen. Edward “Ed” Markey [D, 2013-2026]",Democrat
400272,NJ,,Yea,"Sen. Robert “Bob” Menendez [D, 2006-2024]",Democrat
400284,KS,,Yea,"Sen. Jerry Moran [R, 2011-2022]",Republican
400325,OH,,Yea,"Sen. Robert “Rob” Portman [R, 2011-2022]",Republican
400357,VT,,Not Voting,"Sen. Bernard “Bernie” Sanders [I, 2007-2024]",Independent
400408,PA,,Yea,"Sen. Patrick “Pat” Toomey [R, 2011-2022]",Republican
400413,NM,,Yea,"Sen. Tom Udall [D, 2009-2020]",Democrat
400418,LA,,Yea,"Sen. David Vitter [R, 2005-2016]",Republican
400432,MS,,Yea,"Sen. Roger Wicker [R, 2007-2024]",Republican
400546,SD,,Yea,"Sen. John Thune [R, 2005-2022]",Republican
402675,IN,,Yea,"Sen. Daniel Coats [R, 2011-2016]",Republican
412194,CT,,Yea,"Sen. Christopher Murphy [D, 2013-2024]",Democrat
412200,HI,,Yea,"Sen. Mazie Hirono [D, 2013-2024]",Democrat
412205,IN,,Yea,"Sen. Joe Donnelly [D, 2013-2018]",Democrat
412218,NV,,Yea,"Sen. Dean Heller [R, 2011-2018]",Republican
412223,NY,,Nay,"Sen. Kirsten Gillibrand [D, 2009-2024]",Democrat
412242,MN,,Yea,"Sen. Amy Klobuchar [D, 2007-2024]",Democrat
412243,MO,,Yea,"Sen. Claire McCaskill [D, 2007-2018]",Democrat
412244,MT,,Yea,"Sen. Jon Tester [D, 2007-2024]",Democrat
412246,PA,,Yea,"Sen. Robert “Bob” Casey Jr. [D, 2007-2024]",Democrat
412247,RI,,Yea,"Sen. Sheldon Whitehouse [D, 2007-2024]",Democrat
412248,TN,,Yea,"Sen. Bob Corker [R, 2007-2018]",Republican
412251,WY,,Yea,"Sen. John Barrasso [R, 2007-2024]",Republican
412269,LA,,Yea,"Sen. Bill Cassidy [R, 2015-2026]",Republican
412281,NM,,Yea,"Sen. Martin Heinrich [D, 2013-2024]",Democrat
412305,MI,,Yea,"Sen. Gary Peters [D, 2015-2026]",Democrat
412321,VA,,Yea,"Sen. Mark Warner [D, 2009-2026]",Democrat
412322,ID,,Nay,"Sen. James Risch [R, 2009-2026]",Republican
412323,NH,,Yea,"Sen. Jeanne Shaheen [D, 2009-2026]",Democrat
412325,OR,,Nay,"Sen. Jeff Merkley [D, 2009-2026]",Democrat
412330,CO,,Yea,"Sen. Michael Bennet [D, 2009-2022]",Democrat
412378,MN,,Yea,"Sen. Alan “Al” Franken [D, 2009-2017]",Democrat
412390,DE,,Yea,"Sen. Christopher Coons [D, 2010-2026]",Democrat
412391,WV,,Yea,"Sen. Joe Manchin III [D, 2010-2024]",Democrat
412406,CO,,Yea,"Sen. Cory Gardner [R, 2015-2020]",Republican
412464,OK,,Yea,"Sen. James Lankford [R, 2015-2022]",Republican
412471,SC,,Yea,"Sen. Tim Scott [R, 2013-2022]",Republican
412490,CT,,Yea,"Sen. Richard Blumenthal [D, 2011-2022]",Democrat
412491,FL,,Yea,"Sen. Marco Rubio [R, 2011-2022]",Republican
412492,KY,,Nay,"Sen. Rand Paul [R, 2011-2022]",Republican
412493,NH,,Yea,"Sen. Kelly Ayotte [R, 2011-2016]",Republican
412494,ND,,Yea,"Sen. John Hoeven [R, 2011-2022]",Republican
412495,UT,,Nay,"Sen. Mike Lee [R, 2011-2022]",Republican
412496,WI,,Yea,"Sen. Ron Johnson [R, 2011-2022]",Republican
412507,HI,,Yea,"Sen. Brian Schatz [D, 2012-2022]",Democrat
412508,AR,,Yea,"Sen. Tom Cotton [R, 2015-2026]",Republican
412542,MA,,Nay,"Sen. Elizabeth Warren [D, 2013-2024]",Democrat
412545,ME,,Yea,"Sen. Angus King Jr. [I, 2013-2024]",Independent
412549,MT,,Yea,"Sen. Steve Daines [R, 2015-2026]",Republican
412554,ND,,Yea,"Sen. Heidi Heitkamp [D, 2013-2018]",Democrat
412556,NE,,Yea,"Sen. Deb Fischer [R, 2013-2024]",Republican
412573,TX,,Nay,"Sen. Ted Cruz [R, 2013-2024]",Republican
412582,VA,,Yea,"Sen. Timothy “Tim” Kaine [D, 2013-2024]",Democrat
412598,NJ,,Yea,"Sen. Cory Booker [D, 2013-2026]",Democrat
